customer_id,first_name,last_name,email,phone,address
490,Vanya,Acharya,neel95@example.net,9.15E+11,"25
Mitra Zila, Sultan Pur Majra-233688"
723,Gaurika,Acharya,gbaral@example.org,9.15E+11,"97/71, Pillai Road
Gandhidham-556571"
490,Vanya,Acharya,neel95@example.net,9.15E+11,"25
Mitra Zila, Sultan Pur Majra-233688"
490,Vanya,Acharya,neel95@example.net,9.15E+11,"25
Mitra Zila, Sultan Pur Majra-233688"
733,Udyati,Agarwal,esanghvi@example.com,2117631786,"H.No. 791
Gupta Ganj
Satna 552835"
282,Wriddhish,Agate,bahllogan@example.org,8296463693,"H.No. 367
Sandhu Nagar, Karawal Nagar 287811"
606,Caleb,Agate,luke59@example.net,1322996789,"66/13
Kakar Ganj, Ongole-327878"
529,Faraj,Aggarwal,maanavdugar@example.org,1253590102,"98/41
Dani Path
Medininagar 636059"
585,Divya,Aggarwal,neelimahanda@example.org,9.12E+11,"741, Tara Chowk
Tinsukia 402305"
991,Simon,Aggarwal,kaulgunbir@example.net,5829712785,"24
Cheema Marg, Kishanganj-346596"
463,Chavvi,Agrawal,tbhalla@example.com,6202095058,"179
Hayre Chowk, Ahmedabad-219988"
148,Tara,Ahluwalia,qchander@example.net,9.11E+11,"708, Lad Path, Malda-082212"
796,Mohini,Ahuja,jagvimody@example.com,8927999678,"48/20
Gopal Circle
Bidhannagar-760896"
922,Rachita,Ahuja,chakradhar02@example.org,4549057312,"34/40
Jani Nagar
Tirunelveli 810165"
430,Mekhala,Amble,dewanzansi@example.net,9718626618,"H.No. 222
Gulati Circle, Nashik 427749"
83,Upadhriti,Anand,kotaakshay@example.org,4029681329,"78, Bose Marg, Korba 093114"
301,Leela,Anand,hoza@example.org,3434044033,"92
Dhillon Nagar, Aizawl 350668"
544,Advik,Anand,darsh03@example.com,9.18E+11,"63/829
Naik, Barasat-189053"
239,Aashi,Andra,nairhema@example.com,4638536626,"35/376
Guha Path
Aurangabad-926487"
974,Reva,Anne,jkonda@example.net,9.17E+11,"H.No. 657, Sabharwal, Sikar-756140"
117,Gagan,Apte,sureshnakul@example.org,6060916621,"82, Iyer Chowk, Chandrapur-331006"
559,Ayush,Apte,devansh87@example.net,9529536669,"78/44, Bhandari Marg, Mangalore-887955"
845,Yash,Apte,yashica61@example.org,9.19E+11,"45
Bassi Path
Maheshtala 209891"
722,Charles,Arora,ishwarkari@example.com,9.12E+11,"997
Choudhry Road, Chennai 286959"
124,Maanas,Arya,parth04@example.net,5901577266,"94/41, Barad Circle
Ongole 308712"
154,Laban,Arya,shaurya57@example.org,9.14E+11,"37, Bandi Street
Gandhidham 692567"
1,Edhitha,Atwal,zayyan43@example.com,234852317,"96/24
Narayan Nagar, Ranchi 232760"
700,Yug,Atwal,chasmum89@example.com,9.16E+11,"H.No. 71, Mall Ganj, Sri Ganganagar-873115"
1,Edhitha,Atwal,zayyan43@example.com,234852317,"96/24
Narayan Nagar, Ranchi 232760"
213,Manan,Aurora,darshsoman@example.com,1218301061,"04
Wadhwa Path
Kolhapur-593918"
348,Guneet,Aurora,xwason@example.com,9.10E+11,"14/41
Borde, Rohtak-783762"
